subject,trial_number,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,subject_number,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response,time_of_response,response_hand,response_cleaned,response_lat,response_lat_cleaned,response_meaning,response_meaning_cleaned,condition_mot,condition_val,condition,correct,correct_cleaned,rt
sub-020,87,0,FALSE,right,avoid,pos,meat29_crop.jpg,2,9,TRUE,86,20,EAT                                    DON'T EAT,2555.585,2539.4548,2527.3127,--,NA,left,2,NA,right,no_response,not_eat,avoid,pos,avoid-pos,NA,1,NA
sub-020,88,0,FALSE,right,avoid,pos,meat22_crop.jpg,2,9,TRUE,87,20,EAT                                    DON'T EAT,2557.6033,2539.4548,2527.3127,--,NA,left,2,NA,right,no_response,not_eat,avoid,pos,avoid-pos,NA,1,NA
sub-020,89,0,FALSE,right,avoid,pos,meat10_crop.jpg,2,9,TRUE,88,20,EAT                                    DON'T EAT,2559.6216,2539.4548,2527.3127,--,NA,left,2,NA,right,no_response,not_eat,avoid,pos,avoid-pos,NA,1,NA
sub-020,90,0,TRUE,right,approach,pos,cake18_crop.jpg,2,9,TRUE,89,20,EAT                                    DON'T EAT,2561.6401,2539.4548,2527.3127,--,NA,left,2,NA,right,no_response,not_eat,avoid,pos,avoid-pos,NA,0,NA
sub-020,91,3,TRUE,right,avoid,neg,fungus14_crop.jpg,2,10,TRUE,90,20,EAT                                    DON'T EAT,2581.1726,2577.1528,2527.3127,--,NA,left,2,NA,right,no_response,not_eat,approach,neg,approach-neg,NA,1,NA
sub-020,92,3,FALSE,right,approach,neg,insect28_crop.jpg,2,10,TRUE,91,20,EAT                                    DON'T EAT,2583.1914,2577.1528,2527.3127,1,2584.0237,left,1,left,left,eat,eat,approach,neg,approach-neg,1,1,832.2999999998137
sub-020,93,3,FALSE,right,approach,neg,insect22_crop.jpg,2,10,TRUE,92,20,EAT                                    DON'T EAT,2585.2097,2577.1528,2527.3127,1,2585.8982,left,1,left,left,eat,eat,approach,neg,approach-neg,1,1,688.5000000004657
sub-020,94,3,FALSE,right,approach,neg,insect13_crop.jpg,2,10,TRUE,93,20,EAT                                    DON'T EAT,2587.228,2577.1528,2527.3127,1,2587.702,left,1,left,left,eat,eat,approach,neg,approach-neg,1,1,474
sub-020,95,3,TRUE,right,avoid,pos,meat7_crop.jpg,2,10,TRUE,94,20,EAT                                    DON'T EAT,2589.2463,2577.1528,2527.3127,--,NA,left,2,NA,right,no_response,not_eat,approach,neg,approach-neg,NA,1,NA
sub-020,96,3,FALSE,right,approach,neg,insect35_crop.jpg,2,10,TRUE,95,20,EAT                                    DON'T EAT,2591.2646,2577.1528,2527.3127,1,2592.069,left,1,left,left,eat,eat,approach,neg,approach-neg,1,1,804.3999999999069
sub-020,97,3,FALSE,right,approach,neg,insect38_crop.jpg,2,10,TRUE,96,20,EAT                                    DON'T EAT,2593.2827,2577.1528,2527.3127,1,2594.2126,left,1,left,left,eat,eat,approach,neg,approach-neg,1,1,929.8999999994412
sub-020,98,3,FALSE,right,approach,neg,insect6_crop.jpg,2,10,TRUE,97,20,EAT                                    DON'T EAT,2595.3013,2577.1528,2527.3127,1,2596.1062,left,1,left,left,eat,eat,approach,neg,approach-neg,1,1,804.8999999999069
sub-020,99,3,FALSE,right,approach,neg,insect25_crop.jpg,2,10,TRUE,98,20,EAT                                    DON'T EAT,2597.3196,2577.1528,2527.3127,1,2597.9326,left,1,left,left,eat,eat,approach,neg,approach-neg,1,1,613.0000000004657
sub-020,100,3,FALSE,right,approach,neg,insect19_crop.jpg,2,10,TRUE,99,20,EAT                                    DON'T EAT,2599.338,2577.1528,2527.3127,1,2599.8782,left,1,left,left,eat,eat,approach,neg,approach-neg,1,1,540.2000000001863
sub-020,101,0,FALSE,right,approach,pos,cake33_crop.jpg,2,11,TRUE,100,20,EAT                                    DON'T EAT,2617.5198,2613.4995,2527.3127,1,2618.4084,left,1,left,left,eat,eat,approach,pos,approach-pos,1,1,888.6000000000931
sub-020,102,0,TRUE,right,avoid,pos,meat4_crop.jpg,2,11,TRUE,101,20,EAT                                    DON'T EAT,2619.538,2613.4995,2527.3127,--,NA,left,2,NA,right,no_response,not_eat,approach,pos,approach-pos,NA,1,NA
sub-020,103,0,FALSE,right,approach,pos,cake20_crop.jpg,2,11,TRUE,102,20,EAT                                    DON'T EAT,2621.5562,2613.4995,2527.3127,1,2622.2375,left,1,left,left,eat,eat,approach,pos,approach-pos,1,1,681.2999999998137
sub-020,104,0,FALSE,right,approach,pos,cake19_crop.jpg,2,11,TRUE,103,20,EAT                                    DON'T EAT,2623.575,2613.4995,2527.3127,1,2624.3052,left,1,left,left,eat,eat,approach,pos,approach-pos,1,1,730.1999999997206
sub-020,105,0,FALSE,right,approach,pos,cake6_crop.jpg,2,11,TRUE,104,20,EAT                                    DON'T EAT,2625.5933,2613.4995,2527.3127,1,2626.2493,left,1,left,left,eat,eat,approach,pos,approach-pos,1,1,656
sub-020,106,0,FALSE,right,approach,pos,cake35_crop.jpg,2,11,TRUE,105,20,EAT                                    DON'T EAT,2627.6116,2613.4995,2527.3127,1,2628.1836,left,1,left,left,eat,eat,approach,pos,approach-pos,1,1,571.9999999995343
sub-020,107,0,FALSE,right,approach,pos,cake29_crop.jpg,2,11,TRUE,106,20,EAT                                    DON'T EAT,2629.63,2613.4995,2527.3127,1,2630.1472,left,1,left,left,eat,eat,approach,pos,approach-pos,1,1,517.1999999997206
