TrialNumber,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,Subject number,n_b,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response,RT
139,2,True,left,avoid,neg,fungus31_crop.jpg,2,14,1.0,138.0,57.0,14.0,DON'T EAT                                    EAT,2561.2256,2541.0586,2349.0005,1,2562.1807
140,2,False,left,approach,pos,cake33_crop.jpg,2,14,1.0,139.0,57.0,14.0,DON'T EAT                                    EAT,2563.2441,2541.0586,2349.0005,2,2563.9985
141,0,False,left,approach,neg,insect32_crop.jpg,2,15,1.0,140.0,57.0,15.0,DON'T EAT                                    EAT,2582.1099,2578.0894,2349.0005,2,2583.0217
142,0,True,left,avoid,pos,meat6_crop.jpg,2,15,1.0,141.0,57.0,15.0,DON'T EAT                                    EAT,2584.1282,2578.0894,2349.0005,1,2584.9573
143,0,False,left,approach,neg,insect12_crop.jpg,2,15,1.0,142.0,57.0,15.0,DON'T EAT                                    EAT,2586.1462,2578.0894,2349.0005,2,2586.89
144,0,False,left,approach,neg,insect20_crop.jpg,2,15,1.0,143.0,57.0,15.0,DON'T EAT                                    EAT,2588.1643,2578.0894,2349.0005,2,2588.9592
145,0,False,left,approach,neg,insect4_crop.jpg,2,15,1.0,144.0,57.0,15.0,DON'T EAT                                    EAT,2590.183,2578.0894,2349.0005,2,2590.6855
146,0,False,left,approach,neg,insect40_crop.jpg,2,15,1.0,145.0,57.0,15.0,DON'T EAT                                    EAT,2592.2012,2578.0894,2349.0005,2,2592.9666
147,0,False,left,approach,neg,insect5_crop.jpg,2,15,1.0,146.0,57.0,15.0,DON'T EAT                                    EAT,2594.22,2578.0894,2349.0005,2,2594.8284
148,0,True,left,avoid,neg,fungus20_crop.jpg,2,15,1.0,147.0,57.0,15.0,DON'T EAT                                    EAT,2596.2383,2578.0894,2349.0005,1,2597.5183
149,0,False,left,approach,neg,insect22_crop.jpg,2,15,1.0,148.0,57.0,15.0,DON'T EAT                                    EAT,2598.2559,2578.0894,2349.0005,2,2599.0623
150,0,False,left,approach,neg,insect2_crop.jpg,2,15,1.0,149.0,57.0,15.0,DON'T EAT                                    EAT,2600.275,2578.0894,2349.0005,2,2601.229
151,0,False,left,approach,pos,cake28_crop.jpg,2,16,1.0,150.0,57.0,16.0,DON'T EAT                                    EAT,2619.474,2615.454,2349.0005,2,2620.3333
152,0,False,left,approach,pos,cake37_crop.jpg,2,16,1.0,151.0,57.0,16.0,DON'T EAT                                    EAT,2621.4924,2615.454,2349.0005,2,2622.2346
153,0,False,left,approach,pos,cake30_crop.jpg,2,16,1.0,152.0,57.0,16.0,DON'T EAT                                    EAT,2623.511,2615.454,2349.0005,2,2624.024
154,0,False,left,approach,pos,cake39_crop.jpg,2,16,1.0,153.0,57.0,16.0,DON'T EAT                                    EAT,2625.5293,2615.454,2349.0005,2,2626.1895
155,0,True,left,avoid,pos,meat18_crop.jpg,2,16,1.0,154.0,57.0,16.0,DON'T EAT                                    EAT,2627.5476,2615.454,2349.0005,1,2628.6108
156,0,False,left,approach,pos,cake25_crop.jpg,2,16,1.0,155.0,57.0,16.0,DON'T EAT                                    EAT,2629.566,2615.454,2349.0005,2,2630.2686
157,0,True,left,avoid,neg,fungus30_crop.jpg,2,16,1.0,156.0,57.0,16.0,DON'T EAT                                    EAT,2631.5842,2615.454,2349.0005,1,2632.6523
158,0,False,left,approach,pos,cake6_crop.jpg,2,16,1.0,157.0,57.0,16.0,DON'T EAT                                    EAT,2633.6023,2615.454,2349.0005,2,2634.4116
